anomesdia,anomesdia_datetime,model,approach,acc,precision,recall,f1,auc,total_time
20201017,2020-10-17 13:48:09.003395,LogisticRegression,Final Model,0.8793,0.9035,0.8984,0.9009,0.9377,1.91
20201017,2020-10-17 13:47:06.280772,LogisticRegression,Treino 5 K-folds,0.8798,0.9037,0.8987,0.9012,0.9382,1.525
20201017,2020-10-17 13:47:06.280772,LogisticRegression,Teste,0.8777,0.9053,0.8946,0.8999,0.933,0.011
